time,open,high,low,close,volumn
2024-11-12 23:38:00,3247.46,3249.94,3246.3,3249.5,
2024-11-12 23:39:00,3249.5,3249.73,3245.65,3249.63,
2024-11-12 23:40:00,3249.63,3250.18,3245.21,3245.34,
2024-11-12 23:41:00,3245.34,3250.77,3243.86,3249.16,
2024-11-12 23:42:00,3249.16,3250.48,3243.43,3245.62,
2024-11-12 23:43:00,3245.62,3249.63,3244.38,3247.38,
2024-11-12 23:44:00,3247.38,3250.19,3246.75,3247.37,
2024-11-12 23:45:00,3247.37,3249.95,3245.1,3247.6,
2024-11-12 23:46:00,3247.6,3247.6,3240.93,3245.19,
2024-11-12 23:47:00,3245.19,3248.01,3241.89,3244.84,
2024-11-12 23:48:00,3244.84,3248.92,3243.06,3248.42,
2024-11-12 23:49:00,3248.42,3253.46,3248.42,3251.16,
2024-11-12 23:50:00,3251.16,3252.97,3248.88,3251.88,
2024-11-12 23:51:00,3251.88,3254.0,3250.06,3253.01,
2024-11-12 23:52:00,3253.01,3254.88,3250.47,3254.31,
2024-11-12 23:53:00,3254.31,3255.31,3252.62,3254.42,
2024-11-12 23:54:00,3254.42,3255.26,3251.48,3252.99,
2024-11-12 23:55:00,3252.99,3255.1,3251.35,3254.26,
2024-11-12 23:56:00,3254.26,3255.1,3248.09,3249.46,
2024-11-12 23:57:00,3249.46,3250.28,3243.27,3244.31,
2024-11-12 23:58:00,3244.31,3245.32,3240.14,3241.11,
2024-11-12 23:59:00,3241.11,3246.43,3240.36,3243.88,
2024-11-13 00:00:00,3243.88,3247.16,3241.74,3244.74,
2024-11-13 00:01:00,3244.74,3246.49,3241.11,3242.41,
2024-11-13 00:02:00,3242.41,3250.66,3239.14,3250.44,
2024-11-13 00:03:00,3250.44,3253.81,3248.77,3251.31,
2024-11-13 00:04:00,3251.31,3255.31,3249.24,3254.08,
2024-11-13 00:05:00,3254.08,3255.9,3252.31,3254.15,
2024-11-13 00:06:00,3254.15,3254.51,3246.58,3248.62,
2024-11-13 00:07:00,3248.62,3252.22,3246.62,3249.18,
2024-11-13 00:08:00,3249.18,3256.15,3247.42,3255.1,
2024-11-13 00:09:00,3255.1,3255.24,3248.76,3249.58,
2024-11-13 00:10:00,3249.58,3254.25,3249.2,3252.13,
2024-11-13 00:11:00,3252.13,3256.1,3243.17,3244.16,
2024-11-13 00:12:00,3244.16,3244.37,3238.16,3239.63,
2024-11-13 00:13:00,3239.63,3240.54,3232.82,3233.95,
2024-11-13 00:14:00,3233.95,3235.75,3230.89,3234.6,
2024-11-13 00:15:00,3234.6,3241.43,3231.46,3237.59,
2024-11-13 00:16:00,3237.59,3240.0,3233.36,3234.07,
2024-11-13 00:17:00,3234.07,3236.26,3230.95,3232.85,
2024-11-13 00:18:00,3232.85,3236.47,3230.86,3231.19,
2024-11-13 00:19:00,3231.19,3232.55,3225.29,3228.68,
2024-11-13 00:20:00,3228.68,3234.72,3227.86,3232.62,
2024-11-13 00:21:00,3232.62,3234.09,3224.52,3230.22,
2024-11-13 00:22:00,3230.22,3230.35,3221.54,3224.76,
2024-11-13 00:23:00,3224.76,3232.01,3224.76,3231.62,
2024-11-13 00:24:00,3231.62,3236.6,3230.52,3236.32,
2024-11-13 00:25:00,3236.32,3245.83,3235.78,3242.86,
