time,open,high,low,close,volume,close_time,transaction_volume,transaction_number,active_buying_volume,active_buying_transaction_volume,ignore
2024-12-02 06:12:00,0.43442,0.43518,0.434,0.4349,6599933,1733119979999,2867992.88651,3467,3647748,1585478.55849,0
2024-12-02 06:13:00,0.43494,0.43553,0.43484,0.435,3171828,1733120039999,1380499.29691,2122,1484391,646061.36745,0
2024-12-02 06:14:00,0.43501,0.43554,0.4346,0.43545,5940625,1733120099999,2584466.47219,2906,3997031,1739037.97209,0
2024-12-02 06:15:00,0.43544,0.43652,0.43536,0.43628,9867611,1733120159999,4301478.95158,5473,6600070,2877058.90163,0
2024-12-02 06:16:00,0.43627,0.4373,0.436,0.43633,6308391,1733120219999,2754760.0296,3973,4316696,1885194.71571,0
2024-12-02 06:17:00,0.43636,0.43668,0.43578,0.43598,4730085,1733120279999,2063693.53004,2484,2392201,1043785.76618,0
2024-12-02 06:18:00,0.43597,0.43635,0.43539,0.43539,3396577,1733120339999,1480585.67695,2258,1245524,543052.47532,0
2024-12-02 06:19:00,0.43539,0.43562,0.43488,0.43514,5139448,1733120399999,2236448.18974,3119,2182631,949728.73518,0
2024-12-02 06:20:00,0.43516,0.43575,0.43508,0.43554,3247464,1733120459999,1413940.82249,2518,1607356,699846.77576,0
2024-12-02 06:21:00,0.43557,0.43589,0.43476,0.435,4457564,1733120519999,1939854.60552,2640,1747690,760635.64078,0
2024-12-02 06:22:00,0.435,0.43522,0.43466,0.43507,3472530,1733120579999,1510212.54957,2177,1168657,508252.30402,0
2024-12-02 06:23:00,0.43507,0.43509,0.43274,0.43287,19341676,1733120639999,8387937.94679,10472,4007298,1737939.40514,0
2024-12-02 06:24:00,0.43287,0.4332,0.43186,0.43197,32591766,1733120699999,14094289.31009,12942,13374992,5784064.22301,0
2024-12-02 06:25:00,0.43197,0.43225,0.43156,0.43209,21355411,1733120759999,9222275.91434,7555,7996870,3454043.28793,0
2024-12-02 06:26:00,0.4321,0.43402,0.43169,0.43375,30339569,1733120819999,13141352.58009,7808,17270603,7479870.0341,0
2024-12-02 06:27:00,0.43375,0.43409,0.43273,0.43301,9569720,1733120879999,4146644.30282,3836,4343657,1882370.28166,0
2024-12-02 06:28:00,0.433,0.4346,0.433,0.43413,10554464,1733120939999,4580846.69908,4697,6563393,2848146.34544,0
2024-12-02 06:29:00,0.43412,0.43579,0.43391,0.43505,20603997,1733120999999,8962955.23658,8205,13268747,5773258.15931,0
2024-12-02 06:30:00,0.43505,0.43612,0.43484,0.43587,8539201,1733121059999,3717619.90271,4493,4632773,2017263.47911,0
2024-12-02 06:31:00,0.43586,0.43715,0.43584,0.43698,10933946,1733121119999,4773795.50639,5972,6078847,2653757.71936,0
2024-12-02 06:32:00,0.43697,0.43718,0.43475,0.43499,29940886,1733121179999,13052460.25066,7550,7808647,3404174.80537,0
2024-12-02 06:33:00,0.43499,0.43535,0.43389,0.4342,17190729,1733121239999,7467842.6928,5982,6870732,2984241.27291,0
2024-12-02 06:34:00,0.4342,0.43447,0.4328,0.43355,10554734,1733121299999,4575268.16007,6176,4696530,2035842.35334,0
2024-12-02 06:35:00,0.43355,0.43388,0.43242,0.43255,8736130,1733121359999,3784705.88929,4088,3139817,1360234.61035,0
2024-12-02 06:36:00,0.43256,0.43431,0.43236,0.43372,9739380,1733121419999,4219859.56595,4940,5987170,2594265.13207,0
2024-12-02 06:37:00,0.43374,0.43448,0.43306,0.43424,5895850,1733121479999,2556397.17078,3700,2093065,907847.32092,0
2024-12-02 06:38:00,0.43425,0.4348,0.43396,0.43479,3675462,1733121539999,1596310.0889,3365,2300046,999014.09669,0
2024-12-02 06:39:00,0.43478,0.43589,0.43475,0.43532,7247962,1733121599999,3156373.26958,3758,4533470,1974220.49002,0
2024-12-02 06:40:00,0.43533,0.43559,0.43433,0.43549,14551707,1733121659999,6330093.4917,5312,5924822,2577998.92128,0
2024-12-02 06:41:00,0.4355,0.43594,0.43526,0.43548,4043669,1733121719999,1761845.28703,2546,2319633,1010650.84785,0
2024-12-02 06:42:00,0.43548,0.4356,0.43503,0.43547,2376652,1733121779999,1034690.28679,1784,959712,417796.80997,0
2024-12-02 06:43:00,0.43547,0.43552,0.4347,0.43485,4718735,1733121839999,2052886.22094,2172,1797262,781819.49514,0
2024-12-02 06:44:00,0.43485,0.43528,0.43444,0.43525,3100531,1733121899999,1348234.39485,2020,1131903,492295.51586,0
2024-12-02 06:45:00,0.43525,0.43604,0.43506,0.43517,5064292,1733121959999,2205186.68568,2993,3221668,1402883.17593,0
2024-12-02 06:46:00,0.43517,0.43596,0.43495,0.43595,3803488,1733122019999,1655845.02694,2439,1460226,635917.90065,0
2024-12-02 06:47:00,0.43596,0.4371,0.43592,0.43675,6374392,1733122079999,2783181.64478,4886,3704893,1617561.68541,0
2024-12-02 06:48:00,0.43674,0.43707,0.43656,0.43706,6083304,1733122139999,2657118.80799,2619,2195714,959118.62664,0
2024-12-02 06:49:00,0.43706,0.43743,0.43639,0.4366,7210898,1733122199999,3150741.80461,3792,3082876,1347121.82744,0
2024-12-02 06:50:00,0.4366,0.43806,0.4365,0.43757,11677135,1733122259999,5108994.12951,7567,7367852,3223756.22365,0
2024-12-02 06:51:00,0.43756,0.43756,0.43695,0.43703,5894353,1733122319999,2577396.87463,2925,1964534,859129.92126,0
2024-12-02 06:52:00,0.43703,0.43734,0.43678,0.437,2606239,1733122379999,1139166.25453,1750,828676,362209.19118,0
2024-12-02 06:53:00,0.437,0.43744,0.43676,0.43725,3031379,1733122439999,1325153.25099,1794,1621116,708758.75267,0
2024-12-02 06:54:00,0.43724,0.43777,0.43715,0.43777,3916693,1733122499999,1713147.92963,2235,2543277,1112488.69922,0
2024-12-02 06:55:00,0.43777,0.4382,0.43751,0.43805,5749882,1733122559999,2517641.57686,2944,4137956,1811761.81423,0
2024-12-02 06:56:00,0.43806,0.43814,0.43736,0.43736,2892123,1733122619999,1265780.73657,2005,1495829,654681.19941,0
2024-12-02 06:57:00,0.43736,0.43765,0.43715,0.43738,4227328,1733122679999,1848986.87304,2266,1274581,557547.35692,0
2024-12-02 06:58:00,0.43738,0.4377,0.43715,0.43733,2106620,1733122739999,921308.027,1695,1013727,443348.57142,0
2024-12-02 06:59:00,0.43733,0.43773,0.4369,0.43773,2531453,1733122799999,1106799.19336,2019,919265,402093.96893,0
2024-12-02 07:00:00,0.43773,0.43831,0.43764,0.43819,5752162,1733122859999,2519264.84414,3242,2990160,1309476.8731,0
2024-12-02 07:01:00,0.43819,0.43832,0.43745,0.43832,3019849,1733122919999,1322330.69676,2202,1425472,624207.55878,0
2024-12-02 07:02:00,0.43832,0.43884,0.43785,0.43847,14745042,1733122979999,6464436.51235,5060,6616186,2901093.61225,0
2024-12-02 07:03:00,0.43847,0.43934,0.4384,0.43913,8036653,1733123039999,3527527.54338,4908,6078209,2667866.3328,0
2024-12-02 07:04:00,0.43913,0.4399,0.4386,0.43881,10033180,1733123099999,4408801.13045,4158,6081819,2672953.44557,0
2024-12-02 07:05:00,0.43881,0.43957,0.43853,0.43943,4803650,1733123159999,2109910.1965,2587,2878108,1264261.28654,0
2024-12-02 07:06:00,0.43944,0.44,0.43914,0.4393,8081443,1733123219999,3552365.0014,3444,4325494,1901696.94862,0
2024-12-02 07:07:00,0.4393,0.4396,0.43908,0.4393,4255999,1733123279999,1869800.83356,2083,1731460,760701.98339,0
2024-12-02 07:08:00,0.43931,0.4397,0.43923,0.43936,4642043,1733123339999,2039892.35898,1649,2209763,971051.626,0
2024-12-02 07:09:00,0.43936,0.4403,0.43925,0.44024,6837676,1733123399999,3008292.44211,3035,4079943,1794992.05536,0
2024-12-02 07:10:00,0.44023,0.44036,0.43923,0.43928,5754699,1733123459999,2530089.73148,3136,1500382,659638.57497,0
2024-12-02 07:11:00,0.43928,0.43976,0.43877,0.43877,4347946,1733123519999,1910123.83293,2196,1280291,562634.05287,0
2024-12-02 07:12:00,0.43877,0.43941,0.43864,0.4392,9280826,1733123579999,4074417.07679,3364,2693803,1182585.89038,0
2024-12-02 07:13:00,0.43921,0.43952,0.4389,0.43893,2118928,1733123639999,930766.14608,1453,802615,352571.78463,0
2024-12-02 07:14:00,0.43893,0.43897,0.43819,0.43844,5688205,1733123699999,2494875.23932,3071,1771696,777255.69571,0
2024-12-02 07:15:00,0.43844,0.43892,0.4381,0.43846,5343410,1733123759999,2342990.02989,2832,1687040,739868.35,0
2024-12-02 07:16:00,0.43846,0.43859,0.43716,0.4374,10597365,1733123819999,4638450.74756,5549,2354339,1030616.47234,0
2024-12-02 07:17:00,0.4374,0.4381,0.4374,0.43777,5579043,1733123879999,2441935.28631,2019,1587025,694769.05101,0
2024-12-02 07:18:00,0.43777,0.43808,0.43612,0.43635,8336800,1733123939999,3641000.03386,4522,2794095,1220111.64519,0
2024-12-02 07:19:00,0.43635,0.43657,0.43538,0.43575,17250241,1733123999999,7519928.54108,6485,8903874,3881789.75541,0
2024-12-02 07:20:00,0.43576,0.436,0.43469,0.43489,13228187,1733124059999,5762007.75101,4659,8139809,3546858.19652,0
2024-12-02 07:21:00,0.43487,0.43512,0.43419,0.43425,12425296,1733124119999,5399980.20388,7205,5820452,2529987.66547,0
2024-12-02 07:22:00,0.43425,0.43476,0.43389,0.43435,8691911,1733124179999,3774740.91466,3948,3566151,1548893.29783,0
2024-12-02 07:23:00,0.43436,0.43474,0.42909,0.43,137604355,1733124239999,59249484.80888,26773,67954303,29228577.92473,0
2024-12-02 07:24:00,0.42999,0.42999,0.42804,0.42954,65131933,1733124299999,27951542.77817,27174,29245199,12553362.8467,0
2024-12-02 07:25:00,0.42954,0.4297,0.42825,0.4295,23365668,1733124359999,10029306.31472,8254,12209906,5242396.40502,0
2024-12-02 07:26:00,0.4295,0.42987,0.4288,0.42956,15202913,1733124419999,6528586.84366,6692,8761677,3763206.24032,0
2024-12-02 07:27:00,0.42956,0.42989,0.429,0.4291,14979590,1733124479999,6433768.72227,6455,7481893,3213597.99001,0
2024-12-02 07:28:00,0.4291,0.42914,0.42804,0.42826,15817818,1733124539999,6778198.43052,5452,4869051,2086475.27506,0
2024-12-02 07:29:00,0.42826,0.4305,0.42811,0.43014,30910714,1733124599999,13269779.41903,9352,21921341,9410598.66384,0
2024-12-02 07:30:00,0.43019,0.43054,0.42978,0.43,13149686,1733124659999,5656068.43998,5320,6843837,2944104.13069,0
2024-12-02 07:31:00,0.42999,0.4303,0.42892,0.43005,22507016,1733124719999,9675438.98037,6023,16285467,7001936.73201,0
2024-12-02 07:32:00,0.43005,0.43054,0.42923,0.42962,21313633,1733124779999,9163939.60573,5757,15195350,6534003.57822,0
2024-12-02 07:33:00,0.42962,0.43,0.42926,0.42988,14443490,1733124839999,6208686.37691,4771,8374164,3600057.44893,0
2024-12-02 07:34:00,0.42987,0.42988,0.42913,0.42913,6791221,1733124899999,2916901.71177,3627,2974440,1277556.72944,0
2024-12-02 07:35:00,0.42913,0.42933,0.42819,0.42879,8988245,1733124959999,3853802.77903,5271,3980829,1706899.41933,0
2024-12-02 07:36:00,0.4288,0.429,0.427,0.42704,22097537,1733125019999,9452246.33265,10543,5703710,2441094.16118,0
2024-12-02 07:37:00,0.42705,0.42775,0.427,0.42759,22364621,1733125079999,9554222.95098,4132,14238178,6082887.2011,0
2024-12-02 07:38:00,0.42758,0.42884,0.42758,0.42852,9567186,1733125139999,4097355.62633,4894,4769151,2042528.77091,0
2024-12-02 07:39:00,0.42851,0.42892,0.4281,0.42861,13759119,1733125199999,5895851.40417,3492,9768408,4185928.24012,0
2024-12-02 07:40:00,0.42861,0.42893,0.42826,0.4289,5298149,1733125259999,2270696.89704,2972,2516746,1078762.98436,0
2024-12-02 07:41:00,0.4289,0.43019,0.42889,0.4298,12196600,1733125319999,5242189.9452,5773,9097783,3910196.73552,0
2024-12-02 07:42:00,0.42979,0.42987,0.42933,0.42975,4359311,1733125379999,1872860.126,2795,1740182,747645.46809,0
2024-12-02 07:43:00,0.42974,0.43,0.4297,0.42995,6222768,1733125439999,2675244.40092,2460,3442702,1480114.51472,0
2024-12-02 07:44:00,0.42994,0.43,0.42937,0.42963,10658682,1733125499999,4581876.26165,2922,7498697,3223846.76908,0
2024-12-02 07:45:00,0.42963,0.42982,0.42922,0.4297,4147420,1733125559999,1781411.79105,2475,1737454,746257.0204,0
2024-12-02 07:46:00,0.4297,0.43,0.4297,0.42989,16346516,1733125619999,7028017.88612,3094,12969782,5576359.90735,0
2024-12-02 07:47:00,0.4299,0.43032,0.42963,0.42982,34320882,1733125679999,14756648.88944,4789,29377946,12631610.42415,0
2024-12-02 07:48:00,0.42981,0.4299,0.42906,0.42986,9655141,1733125739999,4147468.47419,2647,4572945,1965184.02907,0
2024-12-02 07:49:00,0.42985,0.43,0.42971,0.42994,23784365,1733125799999,10226275.2598,3241,19780361,8504906.74744,0
2024-12-02 07:50:00,0.42994,0.43,0.42983,0.43,13346225,1733125859999,5738434.13715,2527,9943945,4275640.23424,0
2024-12-02 07:51:00,0.43,0.43075,0.42976,0.42994,26227100,1733125919999,11280259.04871,6211,14279777,6141001.96338,0
2024-12-02 07:52:00,0.42993,0.42994,0.42913,0.42977,10134319,1733125979999,4352968.97892,3743,4420689,1898758.1687,0
2024-12-02 07:53:00,0.42977,0.42982,0.42872,0.4291,5626881,1733126039999,2414948.13347,3076,1941311,833251.7067,0
2024-12-02 07:54:00,0.4291,0.42941,0.42852,0.42853,4267723,1733126099999,1830392.14417,3289,1789539,767633.31882,0
