time,open,high,low,close,volumn,close_time,transaction_volume,transaction_number,active_buying_volume,active_buying_transaction_volume,ignore
2024-11-07 02:28:00,75264.25,75264.25,75226.9,75226.9,10.52519,1730946539999,791991.7281375,1569,2.71185,204066.8721977,0
2024-11-07 02:29:00,75226.91,75226.91,75208.0,75218.74,15.58949,1730946599999,1172507.0836001,1730,5.82314,437962.9568217,0
2024-11-07 02:30:00,75218.74,75270.0,75218.73,75260.5,22.12484,1730946659999,1664816.7944895,3504,10.53592,792756.4645704,0
2024-11-07 02:31:00,75260.49,75280.0,75237.72,75237.72,21.92996,1730946719999,1650429.2485784,3503,8.57015,644974.2931639,0
2024-11-07 02:32:00,75237.73,75340.0,75237.72,75300.95,46.07352,1730946779999,3469740.460309,5705,39.14424,2947860.3885667,0
2024-11-07 02:33:00,75300.95,75300.95,75200.0,75200.0,20.95968,1730946839999,1576950.9360841,5158,4.63865,348947.260798,0
2024-11-07 02:34:00,75200.01,75222.0,75188.55,75217.23,36.04499,1730946899999,2710776.0967956,3342,16.71542,1257190.082348,0
2024-11-07 02:35:00,75217.23,75217.24,75184.0,75187.99,13.15538,1730946959999,989304.3182578,1849,3.55311,267181.2208128,0
2024-11-07 02:36:00,75188.0,75260.0,75187.99,75204.0,25.17832,1730947019999,1894115.0370757,5714,9.46824,712167.7368033,0
2024-11-07 02:37:00,75204.0,75210.0,75199.9,75209.99,23.65821,1730947079999,1779188.3030604,1644,10.28645,773565.7274054,0
2024-11-07 02:38:00,75209.99,75260.0,75201.36,75235.4,17.97131,1730947139999,1351924.9409905,4367,7.17652,539832.8603124,0
2024-11-07 02:39:00,75235.4,75274.0,75235.39,75272.72,19.35352,1730947199999,1456562.7424403,2637,14.27122,1074037.0565001,0
2024-11-07 02:40:00,75272.72,75322.0,75266.08,75300.01,31.52605,1730947259999,2373556.8354122,3643,20.28247,1526999.8987027,0
2024-11-07 02:41:00,75300.0,75318.0,75282.49,75284.33,21.2277,1730947319999,1598454.6056344,3473,9.64367,726151.9995917,0
